# PA[deg]	RM[rad/m^2]
122.0341	-6.0579
118.0508	-20.2405
122.3832	-2.3218
118.6656	9.1048
115.3685	-7.8195
116.4078	-1.7486
120.9341	34.5402
120.9096	-8.5471
121.6061	9.3476
342.7134	5.9634
116.3745	5.2224
118.6807	17.8619
120.1570	3.9026
121.7951	12.1220
121.3143	-42.6358
118.9594	4.7502
116.1181	13.4117
116.0892	65.4686
121.2777	-4.8760
121.2654	37.1047
121.2863	-11.7758
121.1437	1.4509
117.6736	22.4794
114.9044	28.3136
114.1692	4.3156
116.2187	-0.2920
112.2517	-13.0517
113.4696	-8.5531
117.9079	15.9841
111.8916	-15.6207
118.5001	19.8932
113.5383	-40.3766
117.7081	29.4250
120.2299	-5.7456
112.2275	-15.0967
114.1262	-21.1968
119.8452	-10.0968
110.7542	8.4738
344.7543	-24.9378
345.7937	44.1134
111.5152	4.5246
118.7224	-6.3068
115.2185	-4.5581
115.3830	-0.5698
117.4343	-12.2931
114.7421	32.9239
109.0458	10.6092
114.4063	-9.1358
117.7007	19.2641
108.7002	-19.6424
117.1637	-10.1196
114.8268	-3.8002
109.6707	-5.9443
112.1888	-12.9118
109.8218	-24.5779
111.3856	-19.7828
109.7898	-27.4361
106.7352	-3.8238
115.1441	139.4565
112.2251	-27.5913
108.7944	-18.4395
114.4688	1.6276
113.2237	20.1997
115.3086	28.1994
111.5513	26.4566
111.5492	8.5803
104.9499	10.2578
116.0225	11.1840
112.2130	26.5633
113.5650	4.1117
348.8589	25.6176
105.4727	7.6916
108.9227	18.5498
114.2646	-7.3833
104.5442	32.8796
114.0743	-3.0651
112.2405	21.1329
112.9189	16.3976
112.3753	-3.6698
104.9122	14.7929
112.7028	-13.3321
107.5650	-41.4572
107.2223	-6.2687
105.0727	9.6911
108.8192	-16.3032
108.7874	-12.5469
108.7552	-19.4874
104.1722	-9.1864
113.3489	13.6648
111.8676	0.3875
102.3255	-16.7239
108.1776	-1.0016
109.0345	-4.7206
106.1471	-41.4079
101.4794	-0.5017
101.2106	-27.2753
106.7864	6.9058
112.7674	0.6738
103.2139	-1.9388
353.1528	-0.0703
105.6038	-48.5098
107.9917	6.5472
101.4868	-23.9224
101.7472	-18.9245
111.6784	-17.2053
103.7323	-5.9390
107.6105	0.7524
102.4891	-25.1015
97.7479	-10.6341
109.8591	8.5287
353.3307	-16.6328
110.5515	16.8184
106.8605	32.0819
97.3066	-11.9837
108.0357	8.7797
108.0317	-7.1645
96.6989	-13.3916
100.3100	-47.8650
355.1270	17.7542
109.2236	24.0278
109.2673	-19.3410
97.1045	4.1179
103.2505	-17.6944
97.8647	-19.6939
102.5618	-9.7390
106.8203	21.1325
102.0427	-10.4987
95.9146	-8.3148
108.5963	-26.5352
105.7110	6.8358
96.1836	-22.7985
105.2531	19.5615
91.9370	12.1949
93.6181	7.0775
97.2650	-14.3277
104.4492	9.7197
107.3004	-15.3344
104.2224	11.4069
97.5523	13.1360
106.8720	-16.4405
102.5877	-20.7703
358.8646	-9.3210
107.5073	-18.8854
102.2094	-23.8985
106.9183	-18.9523
107.1911	-23.0872
103.9847	13.4922
104.5596	-2.7862
92.6122	-25.9872
96.0550	-24.8472
100.5020	-6.8032
357.8301	-9.5245
98.6836	-11.7623
106.1967	-22.4264
102.7082	1.4289
104.9849	-10.4570
105.1323	-40.9955
99.1067	-10.1805
101.3986	-16.1247
98.2344	-12.2900
98.1944	-8.0696
89.0574	30.1187
95.4799	7.8664
101.1170	0.3358
90.1073	13.6140
104.7110	-26.6742
104.7262	112.6502
88.2765	-3.5928
98.3428	-21.1275
88.7738	10.9320
97.9537	-11.6762
359.8914	40.8674
92.0126	-4.8608
92.9012	2.7219
104.6089	-27.4810
91.7084	-12.4232
98.8918	-4.9820
100.1774	-32.1321
89.3536	31.9805
87.5324	17.5923
93.7417	5.6908
95.1358	1.2547
89.1736	28.8135
95.0988	-13.2953
97.5905	-4.3039
99.7238	-3.2855
91.0561	-2.2276
104.1380	-8.2375
96.8114	-2.6504
100.5772	-5.2355
20.8244	9.3475
102.8499	8.9665
101.3700	28.3208
96.7730	4.7346
102.1095	9.4143
91.8844	-6.7212
95.1628	-6.1145
90.7823	9.3800
86.7235	21.7681
102.7933	10.1822
92.6842	-28.1172
2.8257	18.8571
87.2174	25.0652
23.3429	-22.6182
99.6475	-2.3324
3.4138	-41.6157
79.1832	10.1490
80.5003	-5.4392
101.9033	22.0469
94.7537	-26.0567
98.0088	-8.8369
3.1935	-0.4302
92.0981	-4.1306
78.4757	3.1068
99.2848	-4.0955
85.3150	-16.2513
84.1803	17.1989
4.9821	34.2352
91.0448	-9.7831
90.6611	-3.7431
87.1247	37.1893
95.1136	8.3791
94.5317	-9.1280
92.4142	13.9194
97.6588	-1.6186
81.0907	-7.7867
88.3636	-9.5251
26.4528	4.5129
96.9065	-11.3217
4.7732	-3.3511
90.4857	-12.7627
80.1256	-8.4395
88.9610	-2.8546
87.7965	8.0749
99.1700	-15.4492
82.6567	-17.8623
82.6049	-23.3685
71.1707	3.5368
94.5721	-0.9837
85.9234	37.6087
70.4813	-28.7934
87.4585	18.3043
97.2800	16.3253
97.8852	-5.5564
82.1920	-34.2828
92.2467	-63.1215
83.3264	-13.8460
82.2342	-40.0829
77.4583	8.4866
77.4338	32.4204
94.6152	-9.5849
87.1812	32.6427
96.9632	1.2079
92.5365	35.2734
78.0898	-18.4160
78.1102	-20.2029
75.6295	9.3155
36.1055	1.4307
81.9207	-13.7404
91.2879	-12.2947
92.9226	-50.0312
92.4350	-36.6917
96.1193	-8.1990
97.1005	-1.9300
7.0386	-7.3250
79.4381	-6.3408
83.8311	-7.4915
84.1211	0.3768
87.9181	-15.2696
83.6342	-3.8317
67.9722	-40.7329
88.6934	23.8094
96.6423	5.4442
66.4011	22.8268
85.7650	54.1069
38.9323	-5.4723
95.7593	23.8916
61.4332	-14.5485
79.3986	-4.3694
69.2502	-28.2408
37.7740	-23.2958
