# PA[deg]	RM[rad/m^2]
113.2492	11.1897
107.9949	0.5290
105.5892	5.5913
105.6215	13.5033
115.3685	21.4597
110.4163	4.1145
102.7266	16.8643
102.6638	28.7804
107.0398	21.1912
98.5631	49.5003
101.2078	18.0742
110.3464	56.9856
99.0050	23.5035
111.1346	0.5202
102.4282	76.1375
112.2517	-23.6342
96.1336	10.9932
106.0463	29.7715
104.9461	14.4477
103.3444	19.9195
111.8916	-27.6885
112.2275	-4.2133
109.9404	24.9255
110.7542	6.6179
104.5661	26.2625
100.7384	7.2845
95.8287	20.0859
100.4309	0.1779
108.5067	72.4173
91.0971	38.3977
96.9165	46.8943
108.3164	81.1969
89.8752	-7.9176
95.0735	-3.0374
95.0930	8.8211
87.0555	-13.8544
97.0849	21.4518
103.7609	16.3385
109.0458	18.9806
97.4717	7.2168
104.8502	1.4176
98.0538	37.2967
96.4943	39.6992
108.7002	-10.3644
101.8110	21.0601
106.9259	44.0754
94.2394	29.1692
102.3010	27.8729
87.3908	-36.6551
106.7352	21.7424
83.5506	34.2889
98.6728	26.7877
105.5256	39.6506
83.8354	29.7302
87.8777	-10.5467
86.2522	-38.5652
97.5008	4.4281
101.7894	29.9456
102.8890	-7.9385
102.5426	8.4935
102.5018	-7.6627
99.1068	16.6665
95.8654	19.6290
103.7068	-26.0728
95.8730	17.2111
100.4010	13.7511
104.9499	38.2094
87.6283	5.7416
100.6349	17.9251
97.8612	31.3618
98.0241	-3.0779
99.3471	8.8089
100.2458	-0.9759
85.6705	23.1936
96.3082	0.6200
104.5442	56.9754
92.4183	-1.9566
86.4653	0.1680
97.8483	13.6038
88.3510	2.3649
102.0720	18.5759
81.6569	44.0190
88.3611	1.4892
87.5643	10.4465
101.2708	14.9278
81.4835	41.4679
85.6080	1.3602
93.9469	-6.8129
94.7059	5.3204
94.6413	-1.6853
86.3938	-0.3865
78.5018	-0.6060
80.7724	2.3105
96.5830	-5.9347
96.5621	-5.2588
89.6931	0.4316
102.3255	5.6364
101.4794	26.3414
101.2106	-0.3584
9.4616	-3.9988
80.2056	-13.7368
91.0225	-0.0251
90.2883	-10.1727
84.2795	-10.1477
77.5102	-7.1123
94.2056	-31.7120
97.7479	-21.0782
93.8402	-30.0780
94.9440	-3.7714
77.7895	12.8161
95.7781	-3.4883
97.3066	-19.5189
94.5536	-22.2603
96.6989	-7.9335
89.9098	-13.1703
75.1437	46.9708
91.7481	-20.5856
78.2669	-12.9495
81.8713	14.8236
77.0945	16.5201
87.0101	-57.5213
97.1045	-8.2570
97.8647	-35.1958
69.5863	-2.7646
84.7648	2.5504
91.8167	-41.0160
76.5266	16.1063
92.4526	-48.7000
83.0711	36.4247
87.2728	-44.1167
91.6594	21.0855
95.9146	-2.1293
91.9370	-16.9905
84.9939	10.4166
76.7645	-26.6821
67.9145	12.9203
93.6181	8.3366
81.1753	5.1536
92.6122	-32.8830
76.2970	12.3476
64.8111	24.3836
80.2810	-8.5184
89.0574	29.1245
76.9855	-44.7000
65.3411	3.6734
83.7723	1.5835
83.6400	-11.7217
77.5181	-1.6288
90.1073	-8.6395
78.0218	6.3942
88.2765	-2.0614
74.8146	-17.9608
71.4976	-14.6348
88.7738	9.2665
20.5383	16.5301
78.9329	0.0175
65.4826	-20.0710
20.3430	36.7395
69.7449	-11.2196
92.0126	-3.2510
91.7084	-15.5079
72.0655	-39.0141
81.4660	35.5825
89.3536	12.7604
87.5324	19.5484
75.7979	-33.9964
89.1736	8.9944
69.4295	15.8432
79.5026	12.3537
23.3484	18.4653
79.4855	15.7150
23.4117	30.0105
65.7815	-6.4486
79.3133	1.2468
80.6742	-2.3783
70.5332	-19.8078
20.8244	27.7138
58.3344	-13.9076
78.7274	1.1840
80.1322	0.1978
64.4266	2.5026
79.3406	-25.7044
64.4800	-1.1060
63.7915	-11.1225
62.9057	-4.6941
86.7235	22.8275
71.1329	-38.1997
87.2174	23.6636
75.0190	-18.1247
79.9730	-7.9183
23.3429	-4.1605
55.6313	-43.2828
55.5956	-36.4084
55.6210	-86.9844
65.4411	-2.0828
65.4039	-1.6912
64.2848	-19.5348
79.1832	10.9749
26.3910	21.5483
80.5003	-4.8277
68.3709	11.9644
68.3940	10.2379
78.4757	4.0005
70.4239	-6.6734
85.3150	-1.0860
84.1803	21.5855
62.9546	-2.3387
57.3237	-4.0137
74.1396	-7.4860
60.6641	5.3834
74.9885	27.8390
73.9616	-2.8558
68.3268	-0.6349
30.2354	2.8804
72.1561	7.9845
67.1648	-1.7052
81.0907	-0.2046
31.3122	-23.1980
26.4528	3.4642
31.3363	-10.2233
56.3164	5.3463
80.1256	-1.8793
65.3854	-1.8482
82.6567	-12.9845
82.6049	-18.1282
71.1707	24.0391
63.2226	10.7653
51.0206	2.6965
64.5318	-8.2522
70.4813	5.0587
54.7485	-6.0267
60.0084	-34.4553
61.6525	-49.4933
65.8786	9.8370
82.1920	-26.7789
83.3264	-8.4760
82.2342	-32.9123
77.4583	16.2777
77.4338	40.0418
78.0898	-10.2871
78.1102	-11.9728
75.6295	-1.2424
36.1055	1.8914
81.9207	-4.7368
37.9675	-7.8655
38.0152	-1.0845
79.4381	7.7623
46.0134	-2.9867
67.9722	-24.3173
45.9736	11.4802
52.6302	11.8927
66.4011	8.4930
38.9323	14.0995
61.4332	0.2621
79.3986	11.5328
69.2502	10.6197
37.7740	-19.3427
52.2734	2.6711
44.1786	-8.8528
45.6972	11.4914
30.0690	-14.4879
69.0514	31.1848
78.5439	33.9222
59.7405	7.7973
81.3586	38.4214
32.2971	0.7494
81.3642	32.4181
63.0587	20.9739
47.7121	12.3375
65.8766	-12.3056
79.4283	36.7684
76.2606	7.6400
76.2687	16.0340
64.2567	1.9762
58.5817	-21.4215
49.2715	10.5673
55.2634	8.6691
55.2279	-11.9480
75.5382	0.5606
76.8432	7.9259
41.8591	-24.9245
55.8625	8.9546
53.7185	19.3689
35.3462	12.3128
62.0236	10.4482
56.2109	-15.1517
35.9230	6.3151
59.6068	-34.0343
65.4909	-14.3648
52.6539	26.9615
66.4174	-12.5008
66.3861	-12.6549
73.9724	-15.5309
72.4134	10.6243
53.3964	14.8681
33.1831	39.7110
33.2130	38.9035
47.8680	-8.7282
69.5454	3.8812
34.7716	37.7639
55.2773	-5.8812
60.3227	15.4801
76.4746	8.0090
55.7526	-9.0465
74.9054	-5.9180
34.9023	51.2835
75.7176	13.3882
76.9203	41.9684
75.5175	36.2361
36.3404	-1.6624
70.1413	-34.0861
46.1226	5.2763
68.9005	-0.5499
46.4974	14.8593
59.5474	-5.6515
64.3028	25.4816
66.8357	4.1949
58.7523	11.6943
73.0705	19.1983
66.6723	-4.8053
66.6903	13.3609
48.3384	-9.2186
68.4743	11.2308
64.2902	47.5633
60.3777	23.7613
58.6548	62.7769
71.0079	-18.8582
54.0736	-10.7686
57.5845	1.5370
36.4573	-24.0883
68.8840	5.1131
66.1736	0.7273
73.9978	-3.4168
46.8605	23.4181
68.6990	12.7654
71.6958	27.6325
41.6407	3.1832
57.9230	11.5504
67.0244	-1.4702
48.3732	-4.9763
48.3766	1.5318
60.4511	0.2523
40.6744	-0.8493
53.8364	-0.8043
51.2840	7.5493
70.5361	0.4773
45.2665	4.2281
68.7605	4.6667
51.9314	-1.3061
51.9906	-7.3994
63.8924	-4.8646
45.2139	14.5849
44.4585	4.0851
62.2813	63.7715
51.2496	-0.8200
61.0289	-45.7261
49.6903	8.3087
40.2223	1.5373
44.0794	23.6830
57.2744	-35.0680
63.5065	84.8004
66.0471	30.6135
60.1146	-4.6178
61.4145	32.3130
44.6171	35.0556
51.8320	23.9525
48.2706	6.7550
47.2461	23.7104
47.1534	26.5390
65.3912	60.0863
50.3495	-5.2307
45.4567	11.1212
58.7562	-46.2814
64.4357	68.3590
42.3933	11.2946
50.7018	38.4583
51.5043	31.3011
58.3541	-10.6314
64.2502	11.6662
57.4562	-1.7217
57.4411	-2.6287
63.8900	39.2674
46.6882	5.2805
61.4860	-0.5388
47.5483	7.9283
47.6296	14.5199
58.7452	4.7725
61.2976	27.6127
60.4059	11.0060
60.3957	14.8630
48.7601	-6.3482
211.5084	-2.9703
217.1499	-2.4567
217.3588	2.8373
217.1946	-4.7009
211.5412	21.8006
207.1752	-0.9240
221.5517	-0.7055
210.5892	-30.5630
216.9272	41.4303
207.4129	-96.1485
213.8226	-10.7404
207.1486	-62.1424
224.8581	-4.7631
205.8833	-32.6882
205.8122	-24.0962
229.6740	-13.1572
226.5032	-15.5412
232.3010	-12.2732
212.2643	-39.9399
216.5033	-20.4389
227.0223	-6.9085
216.4395	-5.0184
224.0061	-8.6796
223.9678	-4.7401
228.2551	-5.6855
221.6072	-48.4882
234.2795	20.7117
209.1515	18.8095
234.2645	5.8222
223.5956	-30.7427
220.9045	-90.1665
201.0949	-14.5480
214.6800	-4.2716
211.0323	-36.0288
218.9501	-146.9551
196.2806	-3.0482
215.6898	-0.7843
210.3563	-20.5496
195.5212	7.2015
195.4132	8.4332
205.6984	-92.4577
206.0748	-32.1293
240.2902	-41.8023
219.7840	-155.0453
237.6106	-39.1762
214.9737	-46.3556
198.3645	-4.7660
227.5045	-46.6772
208.9426	-13.3339
228.9822	-35.3654
229.0653	-43.9370
194.0722	-12.4480
202.7137	-72.7071
193.3882	-15.4025
193.3784	-29.3476
197.8197	-14.3149
237.2861	-11.5595
216.6726	-114.3005
221.6437	410.3291
196.6937	-8.3776
193.9934	-1.4285
225.9759	-45.7432
235.4148	8.6756
231.0764	-24.4361
197.7004	-7.2432
202.0895	-38.8798
245.9023	18.6879
202.0822	-34.4678
201.2304	-34.9931
218.7159	477.8059
218.7294	-153.5093
208.7250	-75.3137
227.1185	4.7004
201.7081	-29.4888
213.9478	-102.6310
212.3779	-34.7276
222.3208	-122.8679
233.0670	-12.6727
233.0626	-24.4106
230.4416	-32.6005
198.3077	-11.8470
225.0168	-69.2794
191.6332	21.3875
209.2752	-47.7639
209.4952	-70.0306
231.9838	-14.0349
211.7708	9.4539
228.9532	-5.2198
232.4513	-2.4940
213.1772	154.3727
233.4515	14.3938
216.9206	-99.3306
201.2534	28.7435
212.7240	-44.0013
225.7606	-87.4340
220.5760	-41.4186
210.6540	61.4707
210.0403	-11.6301
243.9238	-7.1530
215.7887	-19.7241
195.4017	55.7838
195.5065	17.6649
245.1876	-2.1675
196.0181	49.8311
192.7612	3.4738
222.4611	-39.3956
