NAME,RA_1950,DEC_1950,S_max,sigma_Tau,N_H,T_B_max
VV2,01:29:33.64,30:28:43.1,99.0,0.16,50,2.1
VV8,01:30:36.89,30:34:45.4,2.8,0.25,134,31.9
VV11,01:30:40.05,30:30:15.1,22.3,0.12,117,14.4
VV27,01:31:25.11,30:38:50.8,7.3,0.16,77,14.9
VV32,01:31:39.92,30:47:48.7,8.0,0.09,87,19.8
VV33,01:31:40.93,30:35:41.8,2.9,0.18,41,3.9
VV37,01:32:18.30,30:50:10.5,13.8,0.13,47,12.3
VV38,01:32:23.59,30:55:12.7,34.1,0.11,50,2.2
VV39,01:32:26.28,30:39:35.4,5.1,0.16,69,12.6
VV106,01:31:42.57,30:31:39.2,4.2,0.23,238,32.7
